campus,branch,marks,year
Pilani,B.E. Chemical,224,2023
Pilani,B.E. Civil,213,2023
Pilani,B.E. Mechanical,244,2023
Pilani,B.E. Computer Science,331,2023
Pilani,B.E. Electronics & Instrumentation,266,2023
Pilani,B.E. Manufacturing,220,2023
Pilani,B. Pharm,153,2023
Pilani,M.Sc. Biological Sciences,212,2023
Pilani,M.Sc. Chemistry,213,2023
Pilani,M.Sc. Economics,257,2023
Pilani,M.Sc. Mathematics,236,2023
Pilani,M.Sc. Physics,235,2023
Pilani,B.E. Electrical & Electronics,272,2023
Goa,B.E. Chemical,209,2023
Goa,B.E. Mechanical,223,2023
Goa,B.E. Electrical & Electronics,252,2023
Goa,B.E. Computer Science,295,2023
Goa,B.E. Electronics & Instrumentation,244,2023
Goa,B.E. Electronics & Communication,267,2023
Goa,M.Sc. Chemistry,205,2023
Goa,M.Sc. Biological Sciences,204,2023
Goa,M.Sc. Economics,239,2023
Goa,M.Sc. Mathematics,221,2023
Goa,M.Sc. Physics,222,2023
Hyderabad,B.E. Chemical,207,2023
Hyderabad,B.E. Civil,204,2023
Hyderabad,B.E. Electrical & Electronics,251,2023
Hyderabad,B.E. Mechanical,218,2023
Hyderabad,B.E. Computer Science,284,2023
Hyderabad,B.E. Electronics & Instrumentation,244,2023
Hyderabad,B.E. Electronics & Communication,265,2023
Hyderabad,B. Pharm,135,2023
Hyderabad,M.Sc. Biological Sciences,204,2023
Hyderabad,M.Sc. Chemistry,205,2023
Hyderabad,M.Sc. Economics,236,2023
Hyderabad,M.Sc. Mathematics,219,2023
Hyderabad,M.Sc. Physics,219,2023
